time,avg duration (FPR 0.001),# matched txs (FPR 0.001),# processed txs (FPR 0.001),# matched bytes (FPR 0.001),# processed bytes (FPR 0.001),# last tx hash (FPR 0.001)
"6/20/2024, 2:42:09 PM",39.52,14970,500,89015026,2528338,DE+5DSrIWIGwwGjCq6IRoWPD1xuitLjIGlrKKZge3O8=
"6/20/2024, 2:42:29 PM",39.504,29788,1000,176420435,4856675,l7fj8RcKzgB2kXxBgY59F36b2nnOp+xmOpz/ACPQH2E=
"6/20/2024, 2:42:53 PM",41.648,44915,1500,265999862,7206227,9oJ69JFeCWFb/AP5eiyvzJE//hBLgj6nw2NzBH44OFk=
"6/20/2024, 2:43:18 PM",43.488,61282,2000,371847367,9798980,n4Jt60q1hhvBK8KK+TdnrlvZ+czG8Yz/3RqwfKKJDQM=
"6/20/2024, 2:43:39 PM",42.9776,77508,2500,480937236,12532899,kLU6Utox/ddln3jIp9RJ3GOULXrxqbqN8oubWLh3d3I=
"6/20/2024, 2:44:01 PM",42.966,94100,3000,599016625,15422543,Fii+3VJbzb1X9O32lTVipC3CpbQV8Hn3sKaDgaZUYb8=
"6/20/2024, 2:44:21 PM",42.532,109923,3500,686893592,17660483,bcdOZRVXD+eursFyvbAQPBKdayQAc6TG4bEeLwRacRE=
"6/20/2024, 2:44:43 PM",42.5665,125771,4000,785849469,20265852,UvAdgLC/WXDPpUIfDvFbjN4pDeznQULqO3xdzhyq4hI=
