time,FPR (0.0001),BTR (FPR 0.0001),# txs (FPR 0.0001),# tx matches (FPR 0.0001),# bytes sent (FPR 0.0001),# bytes received (FPR 0.0001)
"6/17/2024, 4:24:19 PM",0.008,0.00119,500,4,2503206,2968
"6/17/2024, 4:24:21 PM",0.008,0.00242,1000,8,4877432,11821
"6/17/2024, 4:24:24 PM",0.00733,0.00246,1500,11,7211817,17754
"6/17/2024, 4:24:26 PM",0.007,0.00288,2000,14,9735085,28000
"6/17/2024, 4:24:28 PM",0.0056,0.00223,2500,14,12558116,28000
"6/17/2024, 4:24:29 PM",0.006,0.00338,3000,18,15331889,51831
"6/17/2024, 4:24:31 PM",0.00571,0.00343,3500,20,17703812,60713
"6/17/2024, 4:24:34 PM",0.0055,0.00305,4000,22,20301636,61960
"6/17/2024, 4:24:36 PM",0.006,0.00597,4500,27,22584688,134941
"6/17/2024, 4:24:38 PM",0.0058,0.00547,5000,29,24888012,136255
"6/17/2024, 4:24:41 PM",0.00582,0.00538,5500,32,27244176,146446
"6/17/2024, 4:24:43 PM",0.0055,0.0049,6000,33,30032223,147071
"6/17/2024, 4:24:45 PM",0.00569,0.0052,6500,37,32507919,168901
"6/17/2024, 4:24:46 PM",0.00586,0.005,7000,41,34740316,173610
"6/17/2024, 4:24:49 PM",0.00573,0.00478,7500,43,37234130,178028
"6/17/2024, 4:24:50 PM",0.0055,0.00453,8000,44,39451322,178652
"6/17/2024, 4:24:52 PM",0.00565,0.00456,8500,48,41840197,190684
"6/17/2024, 4:24:53 PM",0.00533,0.00428,9000,48,44564452,190684
"6/17/2024, 4:24:56 PM",0.00558,0.00416,9500,53,46692227,194301
"6/17/2024, 4:24:58 PM",0.0054,0.00398,10000,54,48955490,194926
"6/17/2024, 4:25:01 PM",0.00571,0.00408,10500,60,51131429,208424
"6/17/2024, 4:25:03 PM",0.00609,0.00458,11000,67,53088701,243121
"6/17/2024, 4:25:06 PM",0.00583,0.00442,11500,67,55020655,243121
"6/17/2024, 4:25:08 PM",0.00558,0.00424,12000,67,57355933,243121
"6/17/2024, 4:25:10 PM",0.00552,0.00419,12500,69,59481579,249275
"6/17/2024, 4:25:12 PM",0.00538,0.00405,13000,70,61742659,250037
"6/17/2024, 4:25:15 PM",0.00519,0.00391,13500,70,63958960,250037
"6/17/2024, 4:25:18 PM",0.0055,0.00448,14000,77,66238095,297041
"6/17/2024, 4:25:20 PM",0.00538,0.00443,14500,78,68309432,302877
"6/17/2024, 4:25:23 PM",0.0052,0.00431,15000,78,70334262,302877
