time,# oaddr matches (FPR 0.0001),# paycred matches (FPR 0.0001),# stakecred matches  (FPR 0.0001),# total out (FPR 0.0001),# total txs (FPR 0.0001),# bytes filtered (FPR 0.0001),# bytes received by client (FPR 0.0001)
"6/18/2024, 9:47:44 AM",78,49,8,45189,17000,79161245,584133
"6/18/2024, 9:47:45 AM",79,50,9,46596,17500,81315936,597543
"6/18/2024, 9:47:47 AM",80,50,9,47725,18000,82891701,598168
"6/18/2024, 9:47:49 AM",80,50,9,48669,18500,84058636,598168
"6/18/2024, 9:47:50 AM",80,50,9,49546,19000,85334491,598168
"6/18/2024, 9:47:51 AM",81,50,9,50466,19500,86351837,604665
"6/18/2024, 9:47:53 AM",83,51,10,51548,20000,87993316,618255
"6/18/2024, 9:47:56 AM",84,52,10,52689,20500,89947046,621453
"6/18/2024, 9:47:58 AM",85,52,10,53666,21000,91492652,622078
"6/18/2024, 9:48:00 AM",87,52,10,54789,21500,93205056,625191
"6/18/2024, 9:48:02 AM",88,53,11,56130,22000,94850807,640957
"6/18/2024, 9:48:04 AM",88,53,11,57449,22500,97165196,640957
"6/18/2024, 9:48:07 AM",88,55,11,58662,23000,99268463,651758
"6/18/2024, 9:48:09 AM",89,56,11,59899,23500,101245244,664502
"6/18/2024, 9:48:12 AM",93,57,12,61044,24000,102904418,686188
"6/18/2024, 9:48:14 AM",95,59,14,62294,24500,104804165,710484
"6/18/2024, 9:48:16 AM",96,63,15,63483,25000,106719788,718461
"6/18/2024, 9:48:18 AM",99,63,17,64713,25500,108790123,725818
"6/18/2024, 9:48:20 AM",100,64,17,65851,26000,110957242,735928
"6/18/2024, 9:48:23 AM",102,65,18,67187,26500,112831136,738562
"6/18/2024, 9:48:26 AM",105,66,18,68533,27000,114971052,750606
"6/18/2024, 9:48:27 AM",105,67,19,69711,27500,117026171,755850
"6/18/2024, 9:48:30 AM",107,67,19,71085,28000,118964900,757126
"6/18/2024, 9:48:32 AM",110,67,19,72362,28500,121030046,766770
"6/18/2024, 9:48:34 AM",110,67,19,73455,29000,122893562,766770
"6/18/2024, 9:48:36 AM",111,68,19,74749,29500,125008890,768974
"6/18/2024, 9:48:38 AM",115,68,21,76185,30000,127227278,789421
"6/18/2024, 9:48:40 AM",129,69,23,77667,30500,129668482,897708
"6/18/2024, 9:48:43 AM",131,70,24,79033,31000,132193492,921594
"6/18/2024, 9:48:45 AM",132,71,26,80314,31500,134360994,924953
"6/18/2024, 9:48:47 AM",136,72,26,81563,32000,136381418,942377
"6/18/2024, 9:48:48 AM",138,72,31,82824,32500,138763340,968670
"6/18/2024, 9:48:50 AM",141,73,32,84042,33000,140758179,983233
"6/18/2024, 9:48:52 AM",147,73,32,85231,33500,142958584,1039250
"6/18/2024, 9:48:54 AM",155,73,32,86368,34000,145077115,1081452
"6/18/2024, 9:48:56 AM",159,74,33,87660,34500,146978711,1100490
"6/18/2024, 9:48:57 AM",163,74,33,88862,35000,149056677,1107144
"6/18/2024, 9:48:59 AM",166,74,33,90075,35500,151230120,1117471
"6/18/2024, 9:49:01 AM",171,74,33,91288,36000,152976715,1131172
"6/18/2024, 9:49:02 AM",172,74,33,92418,36500,154808120,1131812
"6/18/2024, 9:49:04 AM",172,74,33,93622,37000,156606943,1131812
"6/18/2024, 9:49:06 AM",174,74,33,94831,37500,158512818,1133061
"6/18/2024, 9:49:07 AM",176,75,33,96068,38000,160470899,1145533
"6/18/2024, 9:49:09 AM",187,75,35,97275,38500,162451098,1205560
"6/18/2024, 9:49:11 AM",190,76,35,98441,39000,164148613,1223480
"6/18/2024, 9:49:13 AM",192,76,35,99625,39500,165914499,1225060
"6/18/2024, 9:49:15 AM",200,79,35,100828,40000,168099836,1274339
"6/18/2024, 9:49:18 AM",202,80,36,102080,40500,169971720,1277184
"6/18/2024, 9:49:19 AM",203,80,36,103338,41000,171835390,1277809
"6/18/2024, 9:49:22 AM",209,80,36,104777,41500,174195250,1300153
"6/18/2024, 9:49:24 AM",211,81,36,106280,42000,176706618,1326564
"6/18/2024, 9:49:26 AM",213,82,36,107614,42500,178450772,1328442
"6/18/2024, 9:49:28 AM",215,84,36,108972,43000,180882579,1341469
"6/18/2024, 9:49:30 AM",219,84,36,110341,43500,183257792,1365693
"6/18/2024, 9:49:33 AM",221,86,36,111688,44000,185310567,1369367
"6/18/2024, 9:49:35 AM",229,86,37,113099,44500,187626135,1415664
"6/18/2024, 9:49:37 AM",230,91,37,114393,45000,189983390,1467147
"6/18/2024, 9:49:39 AM",233,94,38,115691,45500,192051108,1500955
"6/18/2024, 9:49:41 AM",235,95,38,117208,46000,194400122,1503734
"6/18/2024, 9:49:43 AM",239,96,38,118708,46500,196835857,1550724
"6/18/2024, 9:49:46 AM",242,97,40,120150,47000,198872488,1571654
"6/18/2024, 9:49:48 AM",246,100,40,121621,47500,201196506,1598248
"6/18/2024, 9:49:50 AM",248,101,40,123105,48000,203196509,1602975
"6/18/2024, 9:49:52 AM",259,101,40,124731,48500,205513039,1661260
"6/18/2024, 9:49:54 AM",261,103,41,126802,49000,207780768,1671817
"6/18/2024, 9:49:56 AM",262,105,42,128301,49500,209767810,1707959
"6/18/2024, 9:49:58 AM",264,105,42,129874,50000,211808283,1709479
