time,# oaddr matches (FPR 0.0001),# paycred matches (FPR 0.0001),# stakecred matches  (FPR 0.0001),# total out (FPR 0.0001),# total txs (FPR 0.0001),# bytes filtered (FPR 0.0001),# bytes received by client (FPR 0.0001)
"6/18/2024, 9:46:27 AM",4,1,0,1271,500,2528338,7908
"6/18/2024, 9:46:30 AM",8,1,0,2543,1000,4856675,16761
"6/18/2024, 9:46:32 AM",10,4,1,3883,1500,7206227,31466
"6/18/2024, 9:46:34 AM",13,6,1,5265,2000,9798980,51655
"6/18/2024, 9:46:35 AM",13,10,2,6624,2500,12532899,74505
"6/18/2024, 9:46:37 AM",18,11,3,7971,3000,15422543,105533
"6/18/2024, 9:46:39 AM",19,11,3,9252,3500,17660483,109069
"6/18/2024, 9:46:42 AM",21,13,5,10716,4000,20265852,138209
"6/18/2024, 9:46:44 AM",26,13,5,12041,4500,22575009,211190
"6/18/2024, 9:46:46 AM",28,13,5,13478,5000,24886079,212504
"6/18/2024, 9:46:49 AM",30,17,7,14853,5500,27245110,236090
"6/18/2024, 9:46:50 AM",31,18,7,16277,6000,29985472,246523
"6/18/2024, 9:46:53 AM",35,18,7,17723,6500,32535173,268353
"6/18/2024, 9:46:54 AM",39,18,7,19050,7000,34726487,273062
"6/18/2024, 9:46:56 AM",41,19,7,20492,7500,37209349,279000
"6/18/2024, 9:46:58 AM",42,21,7,21844,8000,39468271,304594
"6/18/2024, 9:46:59 AM",46,26,7,23060,8500,41768925,337536
"6/18/2024, 9:47:01 AM",47,26,7,24450,9000,44512689,338160
"6/18/2024, 9:47:03 AM",50,27,7,25833,9500,46725582,349785
"6/18/2024, 9:47:06 AM",51,30,7,27283,10000,48980502,353326
"6/18/2024, 9:47:08 AM",57,31,7,28719,10500,51085635,367479
"6/18/2024, 9:47:11 AM",63,32,7,29927,11000,53062392,416574
"6/18/2024, 9:47:14 AM",63,37,7,31270,11500,55007157,440287
"6/18/2024, 9:47:16 AM",63,38,7,32580,12000,57324514,440998
"6/18/2024, 9:47:17 AM",65,39,7,34023,12500,59461229,456810
"6/18/2024, 9:47:20 AM",65,39,7,35315,13000,61772850,456810
"6/18/2024, 9:47:23 AM",65,39,7,36536,13500,63925886,456810
"6/18/2024, 9:47:26 AM",72,39,8,37793,14000,66210169,506503
"6/18/2024, 9:47:31 AM",73,39,8,38907,14500,68340756,512339
"6/18/2024, 9:47:33 AM",73,39,8,40160,15000,70355639,512339
"6/18/2024, 9:47:35 AM",76,40,8,41434,15500,72352209,546152
"6/18/2024, 9:47:38 AM",78,48,8,42675,16000,74584265,565578
"6/18/2024, 9:47:40 AM",78,48,8,43993,16500,76766167,565578
