time,FPR (0.000001),BTR (FPR 0.000001),# txs (FPR 0.000001),# tx matches (FPR 0.000001),# bytes sent (FPR 0.000001),# bytes received (FPR 0.000001)
"6/17/2024, 4:07:17 PM",0.00556,0.00406,25000,139,106719788,432807
"6/17/2024, 4:07:20 PM",0.00549,0.00401,25500,140,108790123,436652
"6/17/2024, 4:07:23 PM",0.00554,0.00419,26000,144,110957242,464632
"6/17/2024, 4:07:27 PM",0.00551,0.00431,26500,146,112831136,485864
"6/17/2024, 4:07:31 PM",0.00544,0.00446,27000,147,114971052,512338
"6/17/2024, 4:07:33 PM",0.00535,0.00438,27500,147,117026171,512338
"6/17/2024, 4:07:36 PM",0.00525,0.00431,28000,147,118964900,512338
"6/17/2024, 4:07:39 PM",0.00526,0.0043,28500,150,121030046,520431
"6/17/2024, 4:07:41 PM",0.00555,0.00448,29000,161,122893562,550411
"6/17/2024, 4:07:44 PM",0.00583,0.00464,29500,172,125008890,580595
"6/17/2024, 4:07:47 PM",0.0061,0.00477,30000,183,127227278,607329
"6/17/2024, 4:07:50 PM",0.006,0.00468,30500,183,129668482,607329
"6/17/2024, 4:07:53 PM",0.0059,0.00459,31000,183,132193492,607329
"6/17/2024, 4:07:57 PM",0.00581,0.00452,31500,183,134360994,607329
"6/17/2024, 4:07:59 PM",0.00575,0.00462,32000,184,136381418,629452
"6/17/2024, 4:08:01 PM",0.00566,0.00454,32500,184,138763340,629452
"6/17/2024, 4:08:04 PM",0.00558,0.00447,33000,184,140758179,629452
"6/17/2024, 4:08:06 PM",0.00549,0.0044,33500,184,142958584,629452
"6/17/2024, 4:08:09 PM",0.00541,0.00434,34000,184,145077115,629452
"6/17/2024, 4:08:11 PM",0.00533,0.00428,34500,184,146978711,629452
"6/17/2024, 4:08:13 PM",0.00526,0.00422,35000,184,149056677,629452
"6/17/2024, 4:08:16 PM",0.00518,0.00416,35500,184,151230120,629452
"6/17/2024, 4:08:18 PM",0.00511,0.00411,36000,184,152976715,629452
"6/17/2024, 4:08:19 PM",0.00504,0.00407,36500,184,154808120,629452
"6/17/2024, 4:08:22 PM",0.00503,0.00403,37000,186,156606943,630690
"6/17/2024, 4:08:24 PM",0.00499,0.00403,37500,187,158512818,638052
"6/17/2024, 4:08:26 PM",0.00492,0.00398,38000,187,160470899,638052
"6/17/2024, 4:08:29 PM",0.00486,0.00393,38500,187,162451098,638052
"6/17/2024, 4:08:32 PM",0.00485,0.00395,39000,189,164148613,648199
"6/17/2024, 4:08:37 PM",0.00478,0.00391,39500,189,165914499,648199
"6/17/2024, 4:08:39 PM",0.00473,0.00386,40000,189,168099836,648199
"6/17/2024, 4:08:42 PM",0.00467,0.00381,40500,189,169971720,648199
"6/17/2024, 4:08:45 PM",0.00463,0.0038,41000,190,171835390,653315
"6/17/2024, 4:08:49 PM",0.00458,0.00375,41500,190,174195250,653315
"6/17/2024, 4:08:51 PM",0.00455,0.0037,42000,191,176706618,654189
"6/17/2024, 4:08:54 PM",0.00449,0.00367,42500,191,178450772,654189
"6/17/2024, 4:08:57 PM",0.00444,0.00362,43000,191,180882579,654189
"6/17/2024, 4:09:00 PM",0.00439,0.00357,43500,191,183257792,654189
"6/17/2024, 4:09:03 PM",0.00436,0.00358,44000,192,185310567,663008
"6/17/2024, 4:09:07 PM",0.00434,0.00358,44500,193,187626135,671231
"6/17/2024, 4:09:09 PM",0.00429,0.00353,45000,193,189983390,671231
"6/17/2024, 4:09:12 PM",0.00431,0.00355,45500,196,192051108,680917
"6/17/2024, 4:09:14 PM",0.0043,0.00375,46000,198,194400122,728221
"6/17/2024, 4:09:17 PM",0.0043,0.00373,46500,200,196835857,734503
"6/17/2024, 4:09:20 PM",0.00432,0.00373,47000,203,198872488,742316
"6/17/2024, 4:09:23 PM",0.00429,0.00373,47500,204,201196506,750570
"6/17/2024, 4:09:26 PM",0.00429,0.00385,48000,206,203196509,781296
"6/17/2024, 4:09:28 PM",0.00429,0.00393,48500,208,205513039,808584
"6/17/2024, 4:09:31 PM",0.00427,0.00398,49000,209,207780768,827768
"6/17/2024, 4:09:34 PM",0.00424,0.00405,49500,210,209767810,850569
"6/17/2024, 4:09:36 PM",0.00422,0.00402,50000,211,211808283,851208
